"arrive_station_id","citizen_id"
990,"AAAAW1776"
1000,"AAAAG9104"
1010,"AAAAI2453"
1000,"AAABA8010"
1035,"AAABC8428"
990,"ABBAE5210"
1040,"AAAAD6277"
990,"AAAAT6242"
1050,"AAAAP5061"
1010,"ABBAD3786"
1070,"AAAAM0905"
1060,"AAAAW5118"
990,"AAAAN3009"
990,"AAAAU3179"
990,"AAAAW6186"
990,"AAAAM2691"
1060,"AAAAY8411"
1070,"ABBAJ1198"
1010,"ABBAH3844"
990,"ABBAJ8528"
1040,"ABBAJ4774"
990,"ABBAB1029"
1000,"AAAAZ0531"
990,"AAAAO9494"
1040,"AAABA5008"
1030,"AAAAA4444"
990,"AAAAR0522"
990,"AAABC0523"
1000,"ABBAG8422"
1010,"AAAAK2764"
990,"AAAAM7545"
1070,"AAAAU0165"
990,"AAAAY5698"
1060,"AAAAC6960"
1000,"ABBAJ7681"
1010,"AAAAH0368"
1020,"ABBAC8383"
1040,"AAAAS0405"
1020,"AAAAT4515"
990,"ABBAC6832"
1070,"AAAAF4203"
990,"ABBAG1441"
1010,"AAAAR6312"
1030,"AAAAP8467"
990,"ABBAC8361"
1070,"ABBAG3179"
990,"ABBAB5944"
1043,"AAAAL7482"
1070,"AAABB7853"
1070,"AAAAH8880"
1050,"ABBAF9173"
1040,"AAAAS2836"
1060,"AAAAE0209"
1000,"AAAAN2862"
1010,"AAAAN6875"
1070,"AAAAN4563"
1010,"ABBAD6298"
990,"ABBAA8948"
1040,"AAAAR9290"
1040,"ABBAD5525"
1060,"AAAAX0129"
990,"AAAAA7754"
1020,"ABBAF6706"
990,"ABBAB3275"
1020,"AAAAJ5845"
990,"ABBAE1708"
990,"AAABA4167"
1070,"ABBAI2003"
990,"AAAAD3785"
1010,"ABBAE4503"
1040,"AAAAS5264"
990,"AAAAD5633"
1040,"AAABB3241"
990,"AAAAP4794"
990,"AAABA8850"
1010,"AAABA1853"
1040,"ABBAB8565"
990,"AAAAM9325"
990,"ABBAH6193"
1070,"AAAAE0617"
990,"AAAAJ8636"
1010,"AAABA0527"
1010,"AAAAV5967"
990,"AAAAI1553"
1060,"AAAAT1558"
990,"AAAAL8846"
1020,"AAAAC7746"
1040,"AAAAV7326"
1050,"AAAAE6494"
990,"ABBAC7914"
1030,"AAAAT5949"
990,"AAAAR7232"
990,"AAAAQ0103"
990,"AAAAL2621"
990,"ABBAA8341"
990,"AAABD2413"
1060,"ABBAC0583"
1020,"AAAAJ1630"
990,"AAAAZ8076"
1070,"AAAAM7892"
1020,"AAAAG9590"
990,"ABBAC3701"
990,"ABBAI6468"
1010,"AAAAC6003"
1060,"ABBAI4783"
990,"AAAAM9787"
1060,"AAAAN8292"
990,"AAAAX7388"
1030,"AAAAR6040"
990,"ABBAF0798"
1030,"AAABA2506"
1010,"AAAAO9922"
1070,"AAAAG0085"
990,"AAAAA3096"
990,"AAAAG8878"
1000,"AAAAU9910"
990,"AAAAZ6011"
990,"ABBAG5611"
1060,"AAAAI4696"
1000,"AAAAP1647"
1000,"AAABD0407"
1040,"AAAAD4141"
1070,"AAAAC3289"
990,"AAAAY8392"
1035,"ABBAJ3985"
1010,"AAAAE5389"
990,"AAAAZ0740"
1000,"AAAAW8815"
990,"ABBAI6675"
1043,"AAAAK3349"
1040,"AAAAV6188"
1040,"AAAAG5068"
1040,"AAAAV9137"
1060,"AAAAI1496"
1047,"AAAAV4217"
1040,"AAAAQ1590"
990,"AAAAN2158"
1010,"AAABA3500"
1070,"AAABC8386"
990,"AAAAF7266"
1060,"AAAAU8310"
1040,"AAAAZ7153"
1070,"AAAAW2136"
1070,"AAAAI0618"
1035,"AAAAK1544"
1070,"AAAAC3821"
1060,"AAAAO4908"
1040,"AAAAD1751"
990,"AAAAA7795"
1020,"AAAAH4026"
1020,"AAAAK9010"
1030,"ABBAG2914"
1040,"ABBAD9608"
990,"ABBAD3898"
1070,"ABBAG1351"
990,"AAAAW8028"
990,"AAAAA1341"
1040,"ABBAB2215"
990,"AAAAP7616"
1010,"AAAAU0455"
990,"ABBAA6165"
990,"AAAAX1664"
1010,"AAAAY2317"
1020,"ABBAB1864"
990,"AAAAE7367"
990,"ABBAA2885"
1030,"AAABC1449"
990,"AAAAB1850"
1047,"AAAAU1025"
1060,"AAAAG1367"
1070,"AAABB0713"
990,"ABBAE2827"
990,"ABBAE3412"
1070,"AAAAA5955"
1043,"ABBAJ9703"
1070,"ABBAD4442"
990,"AAAAV9126"
990,"AAAAY3733"
1040,"AAAAD3902"
1000,"AAABB5278"
1010,"ABBAI9636"
1070,"AAAAQ6113"
1000,"AAAAM7112"
1035,"AAAAP9547"
990,"AAAAK2939"
990,"AAAAL8173"
990,"AAAAQ3622"
1040,"AAAAU7212"
1070,"ABBAC1334"
990,"ABBAD7893"
1070,"AAAAF9346"
990,"AAAAP6551"
1010,"ABBAF2003"
990,"AAAAS6290"
1070,"AAAAZ1973"
990,"AAAAY7021"
1040,"AAAAZ9101"
990,"AAAAQ4143"
1040,"AAAAR8854"
1040,"AAAAW1884"
1070,"AAAAU7111"
990,"AAAAT0849"
990,"ABBAA3096"
990,"AAAAI4652"
1000,"ABBAF0773"
1060,"AAAAQ0943"
1030,"AAAAV9339"
1047,"AAAAG9907"
1070,"ABBAH6473"
1020,"AAABA3907"
990,"AAABC4023"
1000,"AAABC6061"
1030,"ABBAE3613"
990,"AAAAQ2927"
1000,"AAAAC4883"
990,"AAAAP8594"
990,"AAABB8802"
1070,"ABBAA4921"
1030,"ABBAD6565"
1040,"AAABB4105"
1000,"ABBAJ7855"
990,"AAABC2771"
1010,"AAAAZ5620"
1070,"AAAAJ9301"
1030,"ABBAJ9761"
1070,"AAABD2420"
990,"AAAAN3413"
990,"AAAAP1197"
1020,"AAAAW3301"
990,"AAAAP5210"
990,"AAAAZ2158"
1010,"AAAAY0885"
1010,"AAAAS4189"
990,"AAAAN1883"
1060,"AAAAZ0934"
1040,"AAAAV3097"
